Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2017 PPP $) [SL.GDP.PCAP.EM.KD],CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]"
2013,YR2013,Turkiye,TUR,69813.5244387214,318170.013427734,76576117
2013,YR2013,Turkmenistan,TKM,34744.7633137453,70220.0012207031,5560095
2014,YR2014,Albania,ALB,32519.8708833366,4820.00017166138,2889104
2014,YR2014,Armenia,ARM,29025.7277064314,5480.00001907349,2889930
2014,YR2014,Azerbaijan,AZE,31715.0817650662,32240.0016784668,9535079
2014,YR2014,Belarus,BLR,38003.7439861206,59500,9448515
2014,YR2014,Bosnia and Herzegovina,BIH,44083.6166206877,19489.9997711182,3571068
2014,YR2014,Bulgaria,BGR,46638.0778441391,42049.9992370605,7223938
2014,YR2014,Georgia,GEO,27069.4453947723,8470.00026702881,3719414
2014,YR2014,Kazakhstan,KAZ,49299.2985868113,209229.995727539,17288285
2014,YR2014,Kosovo,XKX,..,..,1812771
2014,YR2014,Moldova,MDA,30117.2614837126,7710.00003814697,2857815
2014,YR2014,Montenegro,MNE,50237.9812684229,2220.00002861023,621810
2014,YR2014,North Macedonia,MKD,43860.7437037808,7699.99980926514,2067471
2014,YR2014,Russian Federation,RUS,53341.5081211296,1611959.9609375,143819667
2014,YR2014,Serbia,SRB,42320.7254965601,38959.9990844727,7130576
2014,YR2014,Turkiye,TUR,72039.8025919473,340640.014648438,78112073
2014,YR2014,Turkmenistan,TKM,37970.7145126795,71400.0015258789,5663152
2015,YR2015,Albania,ALB,31582.7795636099,4619.99988555908,2880703
2015,YR2015,Armenia,ARM,30801.1024614725,5340.00015258789,2878595
2015,YR2015,Azerbaijan,AZE,31554.8115647856,31770.0004577637,9649341
2015,YR2015,Belarus,BLR,36371.5051989634,54819.9996948242,9461076
2015,YR2015,Bosnia and Herzegovina,BIH,45610.2862813754,19620.0008392334,3524324
2015,YR2015,Bulgaria,BGR,47370.383716962,44560.001373291,7177991
2015,YR2015,Georgia,GEO,27228.0784497827,9199.99980926514,3725276
2015,YR2015,Kazakhstan,KAZ,49373.9169772066,190729.995727539,17542806
2015,YR2015,Kosovo,XKX,..,..,1788196
2015,YR2015,Moldova,MDA,29864.3682768738,8020.00045776367,2835978
2015,YR2015,Montenegro,MNE,50593.8533484868,2359.99989509583,622159
2015,YR2015,North Macedonia,MKD,44613.7640292115,7409.99984741211,2070226
2015,YR2015,Russian Federation,RUS,52660.968071007,1592560.05859375,144096870
